67	71	25.5	14.1
51	77	26.3	15
57	77	26.5	13.7
54	70	27.7	15.3
59	70	25.4	13.9
59	70	25.9	13.6
63	94	27	14.3
65	24	27.8	15
50	86	28.1	15.6
64	60	26	13.8
50	68	22.5	9.4
52	66	22.2	10.2
49	54	21	9.7
45	60	21	8
45	67	23	8.3
46	58	23.9	10.3
56	74	25.1	13
54	55	25.1	10
43	56	24	9.8
47	69	23.8	10.1
46	64	23.8	9.6
46	64	23.8	9.6
44	62	23.2	9.8
49	64	23.2	9.8
54	57	24.5	10.2
52	63	25.6	10.2
47	70	26.6	11.4
50	59	27.5	10.9
41	56	25.2	10.4
43	61	27	11.3
38	59	25.6	10.5
47	53	26.2	10.8
45	100	28.4	11.8
45	46	30.1	13.8
40	65	28.2	12.8
37	63	29.2	12.4
41	81	32.6	20
47	46	32	18.6
36	49	32	17.8
40	41	29.4	15.8
31	96	28.2	17.3
56	51	29	16.8
50	44	28	18
43	54	26.3	14.6
44	59	27	16.2
68	71	30.6	18.4
35	52	30.4	15.7
41	59	30.9	20.1
47	96	29.6	21
63	67	30.4	23.4
37	40	29.5	11.9
34	56	23.5	11.5
36	64	27	14.5
65	72	28.6	17
35	59	26.7	13.5
38	49	26.4	14.7
32	49	28.2	14
38	60	29.2	14.6
32	73	32	19
40	80	34.4	20.8
31	94	34	19.6
33	35	33	18.8
28	26	31.2	18
28	36	30.9	16
29	55	32.2	19
26	71	32.6	18.1
39	86	33	19.6
39	70	32.8	21.9
31	44	33.8	19.2
44	79	34	22
53	63	28.4	19.6
43	71	29.8	18.6
62	57	31.4	17.6
40	41	32	19.6
35	56	33.7	21.6
35	64	34.4	21.5
32	56	33.4	20.6
38	95	34.4	23
34	89	35.4	23.5
23	38	35.7	22.8
25	64	36.2	24.7
33	47	27.4	24
31	38	27.6	24.8
31	43	36.2	23.2
30	57	35.3	25.2
29	38	36.2	22.8
34	46	36.5	21.8
41	45	33.2	23
76	66	26.4	19.2
35	77	31.4	20.4
53	75	32.7	23.1
33	65	35.3	25.4
53	52	37.8	24.1
26	70	36.6	25.4
26	73	34.7	24.8
26	68	36.2	24.7
18	25	35.7	20.7
17	59	36	21.4
26	69	37.3	24.4
36	78	38.9	24.3
66	50	37.3	25.5
55	59	39	25.8
37	68	36.9	26.1
26	67	38.1	26.1
53	69	38.1	25.5
29	69	39.4	26.4
70	72	36.3	26.3
68	67	35.6	26
66	72	37.3	26.4
70	71	35	26.4
58	61	37.7	25.8
61	81	39.8	26.2
53	81	40.6	25.6
63	70	38.8	26.6
58	67	39.2	25.7
64	79	38	26.9
55	64	37.8	27.4
75	73	37.6	24.4
65	76	36.3	26.6
86	76	35.7	21.7
69	75	36.4	26
67	61	36.2	27.6
70	74	35.6	28.4
67	59	39	27.8
63	76	41.8	27.3
67	79	41.6	26.8
59	66	40.9	28.5
48	68	40.7	27.8
21	67	40.7	27.9
18	68	40.2	27
42	65	38.2	26.4
59	62	37.2	27.2
53	68	36.4	27.4
65	71	35.4	21
64	75	34.4	27.7
72	81	34.5	24.3
73	81	34	27.6
90	87	31.2	24.6
67	72	34	26
53	64	35.5	26.6
48	70	36	26.6
54	61	36.2	27.2
46	72	36.5	26.6
63	58	34.4	25.2
61	87	35.3	26.1
83	90	32.6	25.4
67	77	34.2	27.2
65	76	34.3	22.1
65	73	34.4	27.2
62	73	34.2	26.9
66	73	34.4	26.8
69	78	34.8	23.2
67	78	34.8	23.2
68	76	34.4	28
67	80	34.6	24
67	66	34.4	27.5
60	71	36.9	27.7
61	80	38.5	27.9
50	61	36.6	28.4
59	77	35.9	27.6
81	83	33.6	26.5
85	85	29.3	26.4
79	85	30	25.6
82	75	32	26.3
75	81	31.9	22.6
81	82	27.7	24.2
77	75	31	25.8
83	83	33.4	25.5
89	87	31.3	25.1
85	85	29.3	24.6
76	81	32.9	26.8
70	75	33.6	27.4
77	71	32.2	27.1
77	79	33.2	27.1
86	75	34	26.2
62	75	33.1	27.1
77	78	32.8	26.4
74	78	32.5	25.4
79	85	32.4	27.4
92	92	29.3	26.5
85	81	30.8	27
80	78	32.7	25.9
93	91	32.2	25.5
97	86	31	26.2
82	86	31.7	25.3
85	76	31.4	26.9
74	73	32.7	26.6
74	75	34	27.4
76	73	34.7	27.5
84	80	34.5	24.6
89	81	34	26.6
93	87	31.7	24.5
83	82	29.8	25.1
61	73	33.4	26.8
77	73	33	26.6
64	73	33.7	27.6
